기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외식,(주)디에스푸드시스템,장병숙 큰손 원조50년 전통 할매순대국,12,6,0,3,0,198500,7801
2018,외식,기타 외식,(주)디저트메이커스,디저트39,147,46,0,13,11,152173,9348
2018,외식,기타 외식,(주)뜨레찬,뜨레찬,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)라라에프앤비(RARAF&amp;B),라라코스트(raracost),111,6,0,6,11,851894,9014
2018,외식,기타 외식,(주)라무진,라무진,80,34,0,0,1,360977,8027
2018,외식,기타 외식,(주)라핀카코리아,스마일핫도그&amp;커피,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)란체스터에프앤비,싸움의고수,34,20,0,1,2,372996,23632
2018,외식,기타 외식,(주)레시피원,레시피#9,7,2,0,3,1,421288,6583
2018,외식,기타 외식,(주)록원에프엔비,리얼안심탕수육,12,6,0,2,0,0,0
2018,외식,기타 외식,(주)루시카토,마리웨일237,89,18,0,22,0,128433,13506
2018,외식,기타 외식,(주)루아,더 포(THE PHO),11,11,0,0,0,745056,16589
2018,외식,기타 외식,(주)리향인터내셔널,무스쿠스(MUSCUS),2,0,0,0,0,3550388,23149
2018,외식,기타 외식,(주)마루에프씨,육장갈비,34,10,0,16,1,359897,7027
2018,외식,기타 외식,(주)마루에프앤씨,회덮밥전문점인마루,31,8,2,4,0,0,0
2018,외식,기타 외식,(주)마스터푸드,등갈비달인,4,0,0,0,0,0,0
2018,외식,기타 외식,(주)마코푸드시스템,미스터빠삭,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)마파람,꼬막정식,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)만호미트 농업회사법인,MH백년갈비,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)맛있는푸드,콩심,56,25,9,0,6,568506,19074
2018,외식,기타 외식,(주)맛쭈,맛쭈서해쭈꾸미,14,0,0,2,0,255856,6720
2018,외식,기타 외식,(주)메밀나라,메밀나라,8,5,0,0,0,0,0
2018,외식,기타 외식,(주)명가,통뼈감자탕,98,27,0,23,11,216716,4364
2018,외식,기타 외식,(주)명동푸드,명동칼국수,35,7,9,0,0,299274,17894
2018,외식,기타 외식,(주)명성에프앤비,황소갈비,8,5,0,0,0,817839,25294
2018,외식,기타 외식,(주)명인에프엔비,면당포,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)모닥홀딩스,도리토리,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)문패밀리,문토스트,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)미라지식품,한모둠,58,0,0,10,0,272734,5924
2018,외식,기타 외식,(주)미성에프앤씨,서울만두,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)바다드림,조개꽃천지,8,5,0,0,0,654390,11131
2018,외식,기타 외식,(주)바른랩,청정고을순대,8,0,0,1,0,0,0
2018,외식,기타 외식,(주)바른맘푸드,꼽창꼽창,6,6,0,0,0,516397,12490
2018,외식,기타 외식,(주)바른미트,소한마리몽땅무쏘,41,41,0,8,0,450151,7435
2018,외식,기타 외식,(주)바른식,바른식수유동옛날면옥,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)바름,개성집,46,13,0,11,3,384450,5861
2018,외식,기타 외식,(주)배달돼지,배달돼지,29,32,1,8,0,211472,18620
2018,외식,기타 외식,(주)백년가에프앤씨,백년가교동짬뽕,10,5,0,0,0,0,0
2018,외식,기타 외식,(주)백년불고기,백년불고기,3,3,0,0,0,0,0
2018,외식,기타 외식,(주)백만,개구리반찬,13,2,0,5,0,112039,8445
2018,외식,기타 외식,(주)백호에프앤비,서병장,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)버거앤프라이즈,버거앤프라이즈(Burger&amp;Friez),29,24,0,2,2,180744,11810
2018,외식,기타 외식,(주)베이스컴퍼니,BORDERLINE,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)본가장수촌,본가장수촌,27,0,0,10,0,0,0
2018,외식,기타 외식,(주)봉추푸드시스템,봉추찜닭,158,10,0,17,15,270518,9220
2018,외식,기타 외식,(주)부엉이에프엔비,부엉이돈가스,13,8,0,2,0,372570,14233
2018,외식,기타 외식,(주)부자이웃,봉구스밥버거,742,22,41,102,87,114656,11243
2018,외식,기타 외식,(주)불소,불소식당,6,0,0,11,0,189023,4765
2018,외식,기타 외식,(주)브라운에프앤씨,브라운돈까스,37,13,0,1,3,231265,7854
2018,외식,기타 외식,(주)브랜딕,크랩잭(Crab Jack),3,3,0,0,0,0,0
2018,외식,기타 외식,(주)브릭심,카페츄로빅,2,0,0,0,0,0,0
2018,외식,기타 외식,(주)비에뜨반미,비에뜨반미,14,14,0,0,0,0,0
2018,외식,기타 외식,(주)비에스다이닝코리아,비손샤브칼국수,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)비엔에스에프앤비,보돌미역,10,10,0,0,0,273245,6604
2018,외식,기타 외식,(주)비엔피푸드,빨봉분식,95,8,0,16,9,221677,8691
2018,외식,기타 외식,(주)비케이세븐코리아,무한리필삼겹시대,13,13,0,0,0,592899,13682
2018,외식,기타 외식,(주)비피알,바푸리쉬는시간,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)빅쭌푸드,빅쭌부대찌개,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)빅투,그램그램,195,31,0,88,11,353737,2343
2018,외식,기타 외식,(주)빛나는바다,빛나는바다,28,4,4,0,4,966519,18845
2018,외식,기타 외식,(주)사리원,사리원,2,1,0,0,0,0,0
2018,외식,기타 외식,(주)사모,어묵나라,17,7,2,0,0,455924,67436
2018,외식,기타 외식,(주)산쪼메,산쪼메,61,20,0,3,2,253523,15821
2018,외식,기타 외식,(주)삼육오컴퍼니,육회한연어,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)삼통치킨,삼통치킨,28,2,0,7,1,345837,11189
2018,외식,기타 외식,(주)상건,국대오리,7,0,0,2,0,370649,13655
2018,외식,기타 외식,(주)샐러디,샐러디,14,9,0,1,2,176475,11628
2018,외식,기타 외식,(주)서정,심청아배고파,13,3,2,1,3,234782,3973
2018,외식,기타 외식,(주)선굼터,선굼터,48,24,0,11,1,0,0
2018,외식,기타 외식,(주)성신에프씨,뽕잎사랑샤브칼국수보쌈냉면,38,2,0,6,0,473601,10554
2018,외식,기타 외식,(주)성운에프씨,명동칼국수,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)세진푸드,코나야,4,1,0,1,0,534219,14996
